"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.377833917E0,5.642824402E-1,-5.865179235E1,4.857672052E0,5.885531529E1
1.387844917E0,-2.517004692E-1,-3.282219199E1,-4.409143834E0,3.311797382E1
1.397856917E0,-1.113710979E0,-2.499896361E0,-2.561486253E1,2.576064860E1
1.407867917E0,-2.087925958E-1,1.209965738E1,-2.821014685E1,3.069621619E1
1.417879917E0,1.166164889E0,9.373823440E0,-2.104374088E1,2.306658918E1
1.427890917E0,8.604641224E-1,8.308594649E0,-1.393528081E1,1.624700572E1
1.437902917E0,8.750628658E-1,6.900378714E0,-6.778263708E0,9.712148079E0
1.447913917E0,1.413147624E0,4.475312680E0,-8.011723325E-2,4.693807470E0
1.457925917E0,2.829265341E0,4.860295697E0,4.022214863E0,6.914147022E0
1.467936917E0,2.897818097E0,6.944924557E0,4.541258163E0,8.789331745E0
1.477948917E0,2.743006046E0,7.762572296E0,5.201338059E0,9.738353476E0
1.487959917E0,4.615102649E0,7.129084368E0,4.980969365E0,9.845459471E0
1.497971917E0,5.355685841E0,6.952905421E0,4.848121794E0,1.002649239E1
1.507982917E0,4.990529562E0,7.665905542E0,4.630923461E0,1.025265552E1
1.517994917E0,4.391780527E0,8.222114915E0,4.379987862E0,1.029928170E1
1.528005917E0,3.732959829E0,8.920453143E0,4.617799970E0,1.071604171E1
1.538017917E0,2.976179557E0,9.461034077E0,4.545162349E0,1.090996386E1
1.548028917E0,2.271694590E0,9.613337672E0,3.565959549E0,1.050204385E1
1.558040917E0,1.732721494E0,9.610494756E0,2.957094830E0,1.020334960E1
1.568051917E0,1.442169840E0,9.575056536E0,3.199518929E0,1.019796464E1
1.578063917E0,1.458005416E0,9.376439484E0,3.514840851E0,1.011916515E1
1.588074917E0,9.585804011E-1,8.833384593E0,3.907222935E0,9.706387115E0
1.598085917E0,4.987153088E-1,7.853830960E0,4.812728306E0,9.224626359E0
1.608097917E0,3.092033949E-1,6.405143521E0,5.669402994E0,8.559415902E0
1.618108917E0,4.297858456E-1,3.927333264E0,5.827157364E0,7.040200663E0
1.628120917E0,1.116429935E0,9.801734376E-1,6.546150881E0,6.712618500E0
1.638131917E0,1.636920421E0,-1.236056365E0,6.372547048E0,6.694527592E0
1.648143917E0,2.760172886E0,-2.338304463E0,5.855205288E0,6.882561376E0
