"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.771023125E0,6.515369384E0,-1.107964336E0,-1.148431161E-1,6.609902580E0
1.780978125E0,1.125998611E0,-3.144475873E0,-8.996409059E-1,3.459039627E0
1.790933125E0,-2.057521460E0,-3.811962436E0,1.167480659E0,4.486364147E0
1.800888125E0,-3.538983420E-1,-6.948312433E0,2.501396756E0,7.393326412E0
1.810843125E0,3.207667902E0,-1.054980142E1,1.433249620E0,1.111942660E1
1.820798125E0,1.449841826E0,-1.028959564E1,4.843681419E-1,1.040252048E1
1.830753125E0,-1.225714834E0,-7.675229512E0,1.135765507E0,7.855029485E0
1.840707125E0,-2.067398138E0,-4.700992400E0,1.485201985E0,5.345960114E0
1.850662125E0,-5.194697084E-1,-2.324064739E0,3.239721168E0,4.020810731E0
1.860617125E0,2.377783547E0,-4.491252190E-1,5.837295266E0,6.318986002E0
1.870572125E0,4.117405779E0,1.730226780E0,5.579048309E0,7.146502298E0
1.880527125E0,1.685744817E0,1.276670541E0,-3.820488846E0,4.366664434E0
1.890482125E0,-3.044251673E0,-2.568677158E0,-1.303195265E1,1.362708188E1
1.900437125E0,-2.148912271E0,-3.675810605E0,-2.131581416E0,4.761622295E0
1.910392125E0,5.205173832E-1,-8.462067103E-1,5.014973263E0,5.112432001E0
1.920347125E0,9.258316080E-1,3.649974682E0,2.774145977E0,4.677110780E0
1.930302125E0,1.103250018E0,5.816784988E0,1.004056390E0,6.005021019E0
1.940257125E0,1.004487330E0,6.878392598E0,4.989757291E-1,6.969236422E0
1.950212125E0,1.017840908E0,7.286044686E0,6.146628908E-1,7.382428987E0
1.960167125E0,9.666725090E-1,7.558496869E0,1.100983199E0,7.699187922E0
1.970121125E0,9.080116336E-1,7.493171775E0,1.672456289E0,7.731055453E0
1.980076125E0,5.454358774E-1,7.356168589E0,1.921050516E0,7.622411147E0
1.990031125E0,-1.345600004E-1,7.320727445E0,8.274470884E-1,7.368570106E0
1.999986125E0,-8.954821468E-1,7.063233025E0,-4.976834214E-1,7.137144935E0
2.009941125E0,-1.455283537E0,6.598785177E0,-1.211582406E0,6.865110918E0
2.019896125E0,-1.997198367E0,5.236334229E0,-1.727514841E0,5.864495290E0
2.029851125E0,-2.159114200E0,3.830425605E0,-1.381806402E0,4.609047990E0
2.039806125E0,-1.986211741E0,3.473003438E0,-1.485199792E0,4.267623271E0
2.049761125E0,-1.923160338E0,2.961288453E0,-1.523986713E0,3.845817272E0
2.059716125E0,-2.137911173E0,-3.069133329E0,-1.577826705E0,4.059529614E0
2.069671125E0,-2.270310262E0,-1.461756083E1,-1.807827517E0,1.490287333E1
2.079626125E0,-1.057072729E0,-2.268139629E1,-2.548801888E0,2.284862210E1
2.089581125E0,1.897858193E-1,-2.533452128E1,-1.749001604E0,2.539553098E1
2.099536125E0,1.694007079E-1,-1.705931832E1,-3.972101301E-1,1.706478286E1
2.109490125E0,2.644270620E-1,-6.517510049E0,5.211512214E-1,6.543657808E0
2.119445125E0,6.220029006E-1,-1.092906001E0,5.988958007E-1,1.392841454E0
2.129400125E0,1.988095129E0,1.748268948E0,2.382436323E-1,2.658143447E0
2.139355125E0,4.181804674E0,2.982531388E0,-2.063213432E-1,5.140578985E0
2.149310125E0,6.227603928E0,3.165303655E0,-4.539158428E-1,7.000588368E0
2.159265125E0,6.706117837E0,2.520901898E0,-8.553072437E-1,7.215158578E0
2.169220125E0,5.518015657E0,1.592068768E0,-1.242831534E0,5.876036928E0
2.179175125E0,3.880574834E0,6.763187832E-1,-1.009659777E0,4.066408859E0
2.189130125E0,2.654197950E0,-2.810136759E-1,-5.670758379E-1,2.728609618E0
2.199085125E0,1.714625239E0,-1.205774220E0,1.069373699E-1,2.098872740E0
2.209040125E0,9.308202332E-1,-1.838685029E0,7.019173086E-1,2.177125823E0
2.218995125E0,2.424943023E-1,-1.744868208E0,1.118044935E0,2.086478619E0
2.228950125E0,-3.965740261E-1,-1.199508344E0,1.561552150E0,2.008615529E0
2.238904125E0,-7.494434774E-1,-2.091508108E-1,1.741669196E0,1.907569442E0
2.248859125E0,-8.338823877E-1,1.000669683E0,1.669570103E0,2.117584468E0
2.258814125E0,-8.741643680E-1,1.985741917E0,1.634552298E0,2.716449065E0
2.268769125E0,-8.329363082E-1,2.172922985E0,1.541354697E0,2.791263423E0
2.278724125E0,-7.625606824E-1,9.420835054E-1,1.297539253E0,1.775564203E0
