"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.077006625E0,-1.608439949E0,-8.798531972E-1,-6.279332491E0,6.541501146E0
1.086967625E0,-1.257786227E0,-7.477843300E-1,-6.329356590E0,6.496303752E0
1.096928625E0,-1.263971996E0,-7.958256385E-1,-6.320987470E0,6.495063222E0
1.106890625E0,-1.292793068E-1,-5.314357428E-1,-6.847489479E0,6.869297580E0
1.116851625E0,3.252841151E-1,-3.677439639E-1,-7.002937707E0,7.020126915E0
1.126812625E0,6.318186946E-1,-2.484648576E-1,-6.975467488E0,7.008428948E0
1.136773625E0,8.597145094E-1,-3.457992174E-1,-6.863216150E0,6.925490745E0
1.146735625E0,9.415457077E-1,-6.068857285E-1,-6.811434962E0,6.902931613E0
1.156696625E0,6.377262828E-1,-7.577114403E-1,-6.577048153E0,6.651194167E0
1.166657625E0,1.121643604E-1,-7.388087077E-1,-6.079799180E0,6.125551177E0
1.176619625E0,-8.246167436E-2,-7.025812599E-1,-5.390592549E0,5.436810497E0
1.186580625E0,9.769498676E-2,-6.812626040E-1,-4.633461152E0,4.684295603E0
1.196541625E0,2.593595360E-1,-5.638024203E-1,-3.748786780E0,3.799808266E0
1.206503625E0,3.302897702E-1,-1.452423517E-1,-2.464765704E0,2.491035257E0
1.216464625E0,2.642779215E-1,5.448419465E-1,-7.559970367E-1,9.686212293E-1
1.226425625E0,3.594053958E-1,5.107839619E-1,-7.635282505E-1,9.864318950E-1
1.236387625E0,-5.198921697E-1,2.881911331E0,3.485145181E0,4.552135513E0
1.246348625E0,3.374181108E-1,3.548638050E0,6.943694302E0,7.805227322E0
1.256309625E0,2.341705642E0,3.132199351E0,1.084409178E1,1.152773112E1
1.266270625E0,4.368801261E0,1.953236661E0,1.424311332E1,1.502557270E1
1.276232625E0,5.775701866E0,4.498931046E-1,1.738920537E1,1.832881882E1
1.286193625E0,6.278779929E0,-8.296225449E-1,2.006519531E1,2.104099365E1
1.296154625E0,5.993415340E0,-2.089661704E0,2.211267037E1,2.300560593E1
1.306116625E0,5.015229371E0,-3.388891826E0,2.319978003E1,2.397638227E1
1.316077625E0,3.732865981E0,-3.978456640E0,2.297759753E1,2.361635861E1
1.326038625E0,2.550187678E0,-3.350529121E0,2.152058131E1,2.192863249E1
1.336000625E0,2.230659708E0,-2.111931263E0,1.948019307E1,1.972090309E1
1.345961625E0,2.341738533E0,-2.076038715E0,1.946176967E1,1.971177705E1
1.355922625E0,3.434930463E0,6.322957543E-1,1.462474940E1,1.503601809E1
1.365884625E0,3.288933674E0,1.857934062E0,1.126735184E1,1.188369561E1
1.375845625E0,2.407291814E0,2.575012909E0,7.639080271E0,8.413161876E0
1.385806625E0,1.260713489E0,2.917182321E0,4.264946818E0,5.318751973E0
1.395767625E0,2.597830206E-1,3.048474532E0,1.297430495E0,3.323252936E0
1.405729792E0,-3.520577846E-1,3.030390263E0,-1.004842256E0,3.211995920E0
1.415690792E0,-6.985114516E-1,2.767366131E0,-2.944863625E0,4.101031007E0
1.425651792E0,-7.342296070E-1,2.647138022E0,-2.914097330E0,4.004796633E0
1.435613792E0,-1.506260878E0,1.937391584E0,-5.796589290E0,6.294660863E0
1.445574792E0,-2.027708554E0,1.444495424E0,-6.584263033E0,7.039225006E0
1.455535792E0,-2.388153292E0,8.239393437E-1,-7.174167570E0,7.605973475E0
1.465497792E0,-2.621641238E0,2.860153842E-1,-7.728252064E0,8.165824364E0
1.475458792E0,-2.810382342E0,-8.734044492E-2,-8.414269624E0,8.871629533E0
1.485419792E0,-2.837266086E0,-5.182550955E-1,-9.052048824E0,9.500434469E0
1.495381792E0,-2.724062237E0,-9.920033781E-1,-9.524277561E0,9.955724425E0
1.505342792E0,-2.711950606E0,-1.419672678E0,-9.935242682E0,1.039611436E1
1.515303792E0,-2.688432228E0,-1.789185717E0,-1.034146513E1,1.083396300E1
1.525264792E0,-2.666246430E0,-2.163357817E0,-1.075458027E1,1.128937482E1
1.535226792E0,-2.633807539E0,-2.256513610E0,-1.073478861E1,1.128115607E1
1.545187792E0,-2.612433043E0,-2.737749399E0,-1.128670145E1,1.190418867E1
1.555148792E0,-2.456215321E0,-2.887161839E0,-1.152787103E1,1.213509405E1
1.565110792E0,-2.233118316E0,-3.107200750E0,-1.175862204E1,1.236554512E1
1.575071792E0,-2.141488354E0,-3.290256607E0,-1.200580256E1,1.263135210E1
1.585032792E0,-2.004591440E0,-3.503506023E0,-1.220492013E1,1.285507747E1
1.594994792E0,-1.807317055E0,-3.737049664E0,-1.227460841E1,1.295754401E1
1.604955792E0,-1.649218577E0,-3.791074428E0,-1.229149517E1,1.296815410E1
1.614916792E0,-1.560465152E0,-3.808201507E0,-1.213553590E1,1.281439354E1
1.624878792E0,-1.500454009E0,-3.828151038E0,-1.213444598E1,1.281213806E1
1.634839792E0,-1.403402800E0,-3.889608783E0,-1.109476543E1,1.184028782E1
1.644800792E0,-1.175328572E0,-3.776333305E0,-1.044382648E1,1.116761398E1
1.654761792E0,-8.649422856E-1,-3.622740106E0,-9.428059289E0,1.013709391E1
1.664723792E0,-6.000350576E-1,-3.273074271E0,-8.184857626E0,8.835437262E0
1.674684792E0,-4.735036498E-1,-2.751311139E0,-6.788646609E0,7.340275299E0
1.684645792E0,-4.237034257E-1,-2.267826803E0,-5.035560139E0,5.538901418E0
1.694607792E0,-3.439573444E-1,-1.893938293E0,-2.834138410E0,3.426025312E0
1.704568792E0,-4.557306723E-1,-1.419525913E0,-1.738476616E-1,1.500988765E0
1.714529792E0,-9.242454046E-1,-4.361175030E-1,2.785048111E0,2.966634630E0
1.724491792E0,-9.357264125E-1,9.308170903E-1,5.960959784E0,6.105329305E0
1.734452792E0,1.739904799E-1,1.629178415E0,9.089070470E0,9.235566956E0
1.744413792E0,2.586430475E0,1.382466260E0,1.241422121E1,1.275592897E1
1.754375792E0,5.459410184E0,6.298797579E-1,1.657647981E1,1.746372214E1
1.764336792E0,7.609430210E0,-2.796411882E-1,2.051296572E1,2.188066247E1
1.774297792E0,8.756604804E0,-1.525924480E0,2.404009041E1,2.563069488E1
1.784258792E0,8.858850971E0,-2.762506510E0,2.730819045E1,2.884177436E1
1.794220792E0,8.816363348E0,-3.499622303E0,2.883912716E1,3.035903283E1
1.804181792E0,7.951906309E0,-3.194718073E0,2.798499397E1,2.926771130E1
1.814142792E0,5.882703574E0,-1.329111587E0,2.448289303E1,2.521477325E1
1.824104792E0,3.973816874E0,1.144787322E0,1.940523879E1,1.984099420E1
1.834065792E0,2.985445640E0,2.887721417E0,1.516203367E1,1.572065793E1
1.844026792E0,2.386433041E0,4.088496268E0,1.258248537E1,1.344357848E1
1.853988792E0,1.783415977E0,4.813194621E0,1.145435983E1,1.255188329E1
1.863949792E0,9.067692465E-1,5.044095905E0,1.065472620E1,1.182321125E1
1.873910792E0,3.861355036E-2,4.860047776E0,9.716070912E0,1.086386623E1
1.883872792E0,-7.302460451E-1,4.429116168E0,8.308598158E0,9.443682156E0
1.893833792E0,-1.516489705E0,4.012742958E0,6.154511978E0,7.501990720E0
1.903794792E0,-2.070797855E0,3.564060373E0,3.564533413E0,5.449461309E0
1.913755792E0,-2.675796395E0,3.105560313E0,7.772949350E-1,4.172358880E0
1.923717792E0,-2.967786756E0,2.383846525E0,-1.988662602E0,4.294794690E0
1.933678792E0,-2.693816052E0,1.225571138E0,-4.677540388E0,5.535165184E0
1.943639792E0,-2.054073941E0,-7.188990846E-2,-7.294398603E0,7.578432483E0
1.953601792E0,-1.553072518E0,-1.267559555E0,-9.751913175E0,9.955830053E0
1.963562792E0,-1.297694935E0,-2.261579930E0,-1.193456008E1,1.221607466E1
1.973523792E0,-1.138653447E0,-3.010963182E0,-1.366739764E1,1.404137419E1
1.983485792E0,-9.820965137E-1,-3.495371962E0,-1.503305813E1,1.546528290E1
1.993446792E0,-6.724662720E-1,-3.898719037E0,-1.585029071E1,1.633658277E1
2.003407792E0,-9.797926194E-2,-4.286483575E0,-1.638170438E1,1.693351056E1
2.013368792E0,5.038326457E-1,-4.789254951E0,-1.699363187E1,1.766279521E1
2.023330792E0,7.404144263E-1,-5.180184002E0,-1.743569073E1,1.820400591E1
2.033291792E0,6.009749975E-1,-5.353987809E0,-1.744383590E1,1.825688274E1
2.043252792E0,4.220744645E-1,-5.616530716E0,-1.701079228E1,1.791900160E1
2.053214792E0,2.534499744E-1,-5.918155242E0,-1.627878403E1,1.732303691E1
2.063175792E0,2.008644474E-1,-6.195346009E0,-1.525985993E1,1.647076148E1
2.073136792E0,1.493056915E-1,-6.341873724E0,-1.404991196E1,1.541563105E1
2.083098792E0,5.068083303E-2,-6.319087125E0,-1.280184717E1,1.427657948E1
2.093059792E0,-1.354381425E-2,-6.217755463E0,-1.165609462E1,1.321079892E1
2.103020792E0,6.259170268E-3,-6.030552760E0,-1.066089969E1,1.224836266E1
2.112982792E0,8.514640516E-2,-5.807775598E0,-9.609965583E0,1.122893342E1
2.122943792E0,1.504859886E-1,-5.531037991E0,-8.484122216E0,1.012893662E1
2.132904792E0,2.307619737E-1,-5.225235044E0,-7.331018545E0,9.005563018E0
2.142865792E0,3.052575111E-1,-4.859403997E0,-5.863089674E0,7.621207901E0
2.152827792E0,2.885672553E-1,-4.313869302E0,-4.189913008E0,6.020640367E0
2.162788792E0,2.413249322E-1,-3.605817094E0,-2.500985112E0,4.394892624E0
2.172749792E0,3.848850766E-1,-2.857517040E0,-6.932733697E-1,2.965496269E0
2.182711792E0,1.345009874E0,-2.292755238E0,1.593933445E0,3.099419618E0
2.192672792E0,3.142638093E0,-1.685675089E0,3.919691538E0,5.299212813E0
2.202633792E0,5.013372295E0,-5.431592640E-1,6.132657425E0,7.939673220E0
2.212595792E0,7.005421019E0,3.908214623E-1,8.596301048E0,1.109617307E1
2.222556792E0,8.531059570E0,7.108632562E-1,1.048851558E1,1.353858423E1
2.232517792E0,8.731596848E0,1.039386729E0,1.083209563E1,1.395189608E1
2.242479792E0,7.130716910E0,1.371605642E0,1.065484782E1,1.289396012E1
2.252440792E0,5.185994380E0,1.641506976E0,1.170707182E1,1.290909034E1
2.262401792E0,4.282912680E0,1.671117861E0,1.432878907E1,1.504826143E1
2.272362792E0,3.752831591E0,1.799578266E0,1.744537840E1,1.793497852E1
2.282324792E0,3.258777244E0,1.899595766E0,1.958227610E1,1.994225741E1
2.292285792E0,2.739158578E0,2.046886836E0,2.014658855E1,2.043471961E1
2.302246792E0,2.051905940E0,2.853520468E0,1.981547944E1,2.012476391E1
2.312208792E0,1.799281081E0,4.009722286E0,1.918517532E1,1.968212989E1
2.322169792E0,1.785817282E0,4.904196885E0,1.805686618E1,1.879602901E1
2.332130792E0,1.280891207E0,5.693582400E0,1.593117642E1,1.696643583E1
2.342092792E0,2.992701450E-1,5.968530174E0,1.292854581E1,1.424290040E1
2.352053792E0,-1.136194839E0,5.645437011E0,9.593798032E0,1.118940831E1
2.362014792E0,-2.821226588E0,4.987356863E0,6.352089395E0,8.554652981E0
2.371976792E0,-4.298601052E0,4.223819257E0,3.629324656E0,7.034956828E0
2.381937792E0,-5.310566386E0,3.424812441E0,1.592738859E0,6.516768576E0
2.391898792E0,-5.887275512E0,2.650074493E0,-2.375255942E-2,6.456273844E0
2.401859542E0,-6.199978758E0,2.001738438E0,-1.488021659E0,6.682881252E0
2.411821542E0,-6.278275899E0,1.290383431E0,-2.815446616E0,7.000612638E0
2.421782542E0,-6.206425897E0,5.374210989E-1,-4.053664697E0,7.432411542E0
2.431743542E0,-6.067384372E0,-1.099025112E-1,-5.217828961E0,8.003185037E0
2.441705542E0,-5.837446125E0,-6.980885518E-1,-6.180102317E0,8.529757883E0
2.451666542E0,-5.556175171E0,-1.305120753E0,-6.971762692E0,9.009988776E0
2.461627542E0,-5.341391737E0,-1.751885451E0,-7.639365031E0,9.484696431E0
2.471589542E0,-5.217488653E0,-1.878861247E0,-8.122887080E0,9.835324191E0
2.481550542E0,-5.062615791E0,-1.811826721E0,-8.488559668E0,1.004830533E1
2.491511542E0,-4.790372354E0,-1.701690613E0,-8.998249177E0,1.033498459E1
2.501472542E0,-4.364527824E0,-1.717232220E0,-9.552654684E0,1.064195476E1
2.511434542E0,-3.668577599E0,-1.901113119E0,-1.004343020E1,1.086016496E1
2.521395542E0,-2.913620490E0,-2.103969694E0,-1.060482372E1,1.119723890E1
2.531356542E0,-2.198975839E0,-2.283682990E0,-1.112192106E1,1.156493973E1
2.541318542E0,-1.643885185E0,-2.395756280E0,-1.141413216E1,1.177813311E1
2.551279542E0,-1.258262336E0,-2.420246758E0,-1.140530052E1,1.172696459E1
2.561240542E0,-9.356311760E-1,-2.380955516E0,-1.107746819E1,1.136902179E1
2.571202542E0,-5.581025545E-1,-2.385209950E0,-1.038561511E1,1.067060009E1
2.581163542E0,-2.676687949E-1,-2.402665058E0,-9.458832600E0,9.762886874E0
2.591124542E0,-2.169309698E-2,-2.475460554E0,-8.386460851E0,8.744203860E0
2.601086542E0,6.444640294E-2,-2.423309822E0,-7.249296690E0,7.643879011E0
2.611047542E0,8.746696405E-2,-2.283264330E0,-6.167216808E0,6.576892095E0
2.621008542E0,2.118810220E-1,-2.179361939E0,-5.160572441E0,5.605891539E0
2.630969542E0,4.045212693E-1,-2.019501987E0,-4.373862904E0,4.834532287E0
2.640931542E0,8.007410272E-1,-1.714082910E0,-3.806685909E0,4.250896849E0
2.650892542E0,1.600566380E0,-1.423635044E0,-3.039494963E0,3.718478063E0
2.660853542E0,2.514003645E0,-8.121004862E-1,-1.780100021E0,3.185667530E0
2.670815542E0,3.557055409E0,1.278914702E-1,1.201602817E-2,3.559374074E0
2.680776542E0,4.774550958E0,9.056562290E-1,1.962690439E0,5.241059417E0
2.690737542E0,6.030793666E0,1.052707271E0,4.257448933E0,7.456844926E0
2.700699542E0,6.924832939E0,6.404122013E-1,7.254015977E0,1.004908886E1
2.710660542E0,7.625968475E0,-1.872594202E-1,1.053930216E1,1.301027868E1
2.720621542E0,7.986460429E0,-1.354317764E0,1.367286479E1,1.589229242E1
2.730582542E0,7.671163359E0,-2.378573506E0,1.638989633E1,1.825193308E1
2.740544542E0,6.762766832E0,-2.843538394E0,1.820073107E1,1.962364231E1
2.750505542E0,5.404179139E0,-2.453610971E0,1.843339529E1,1.936531489E1
2.760466542E0,3.802623848E0,-1.411339226E0,1.774806069E1,1.820564431E1
2.770428542E0,2.559775942E0,-3.474045704E-1,1.713858669E1,1.733217518E1
2.780389542E0,2.145284951E0,3.756917918E-1,1.648043345E1,1.662372036E1
2.790350542E0,2.107792458E0,1.094097591E0,1.630374696E1,1.647580055E1
2.800312542E0,1.691863782E0,1.878027727E0,1.605807971E1,1.625580866E1
2.810273542E0,9.415557942E-1,2.226087624E0,1.478213539E1,1.497843517E1
2.820234542E0,4.258541778E-2,2.160256454E0,1.236314695E1,1.255053481E1
2.830195542E0,-1.131321916E0,2.261153815E0,9.314578866E0,9.651636406E0
2.840157542E0,-2.111190713E0,2.456191932E0,6.167540159E0,6.966244085E0
2.850118542E0,-2.658759363E0,2.477766988E0,3.333966005E0,4.931902262E0
2.860079542E0,-2.797622548E0,2.380289664E0,1.057674188E0,3.822452811E0
2.870041542E0,-2.850315317E0,2.179662632E0,-8.789768457E-1,3.694296535E0
